Seq,station,lat,lon,country,distance
54,哈瓦那港,23°09′N,082°21′W,古巴,1.1943158919590224 km
55,仁川港,37°28′N,126°37′E,韩国,401.40286232315253 km
56,镇海港,35°07′N,128°42′E,韩国,82.76510060467413 km
57,吉布提港,11°36′N,043°08′E,吉布提,3106.5546614014384 km
58,哈利法克斯港,44°39′N,063°34′W,加拿大,2.2754426852423952 km
59,西哈努克港,10°38′N,103°29′E,柬埔寨,2563.6738211764637 km
60,杜阿拉港,04°03′N,009°42′E,喀麦隆,3657.9022447197667 km
61,多哈港,25°18′.0N,051°33′.2E,卡塔尔,2535.982168321712 km
62,乌姆赛义德港,24°56′.9N,051°35′.3E,卡塔尔,2561.5422060267956 km
63,阿比让港,05°16′N,004°01′W,科特迪瓦,2748.4016212139386 km
64,艾哈迈迪港,29°04′.1N,048°09′.7E,科威特,2032.5031905074986 km
65,蒙巴萨港,04°04′S,039°40′E,肯尼亚,4559.419447484106 km
66,康斯坦察港,44°10′N,028°39′E,罗马尼亚,434.0279415244472 km
67,图阿马西纳港,18°08′S,049°22′E,马达加斯加,6383.0608101378275 km
68,马累港,04°10′.5N,073°30′.4E,马尔代夫,5267.8690803173695 km
69,瓦莱塔港,35°54′N,014°31′E,马耳他,97.56199548863086 km
70,巴生港,03°01′.8N,101°21′.6E,马来西亚,3014.0636599671666 km
71,哥打基纳巴卢港,05°59′N,116°05′E,马来西亚,2144.5837422931836 km
72,卢穆特港,04°15′.3N,100°39′.7E,马来西亚,3171.049444076142 km
73,马六甲港,02°12′.8N,102°09′.3E,马来西亚,2891.3836468473737 km
74,槟城港,05°25′N,100°21′E,马来西亚,3204.3065972037907 km
75,路易港,20°08′.9S,057°29′.2E,毛里求斯,5692.0174251897615 km
76,火奴鲁鲁港,21°19′N,157°52′W,美国,1.1075858378181263 km
77,诺福克港,36°51′N,076°19′W,美国,1.6454914759482242 km
78,圣迭戈港,32°42′N,117°10′W,美国,1.7006523365622923 km
79,珍珠港,21°19′N,157°58′W,美国,1.476564127092773 km
80,吉大港,22°19′N,091°48′E,孟加拉,3184.920362048288 km
81,卡亚俄港,12°03′S,077°10′W,秘鲁,0.7133270643735456 km
82,皎漂,19°27′N,093°33′E,缅甸,3079.2089689796057 km
83,仰光港,16°47′N,096°15′E,缅甸,2902.0297536635776 km
84,卡萨布兰卡港,33°36′N,007°36′W,摩洛哥,323.3261819082078 km
85,蒙特卡洛港,43°44′N,007°26′E,摩纳哥,12.798604038474098 km
86,阿卡普尔科港,16°50′N,099°54′W,墨西哥,2.0333504439975423 km
87,德班港,29°52′S,031°02′E,南非,7160.554898312382 km
88,开普敦港,33°56′S,018°26′E,南非,5921.003348884227 km
89,拉各斯港,06°26′S,003°24′E,尼日利亚,4221.576662983971 km
90,里斯本港,38°42′N,009°11′W,葡萄牙,3.5037548916627204 km
91,广岛港,34°20′N,132°25′E,日本,3.129634447099037 km
92,吴港,34°14′N,132°32′E,日本,1.9143866540105028 km
93,达喀尔港,14°41′N,017°26′W,塞内加尔,1451.468135403844 km
94,利马索尔港,34°39′N,033°01′E,塞浦路斯,474.78575269152174 km
95,拉纳卡,34°56′N,033°39′E,塞浦路斯,517.9237019593909 km
96,维多利亚港,04°37′S,055°28′E,塞舌尔,5333.673421556655 km
97,达曼港,26°30′.7N,050°12′.2E,沙特阿拉伯,2350.0911188858527 km
98,吉达港,21°28′N,039°10′E,沙特阿拉伯,1945.552602392482 km
99,吉赞港,16°53′.4N,042°32′.1E,沙特阿拉伯,2562.818576027083 km
100,延布工业港,23°57′.2N,038°13′.0E,沙特阿拉伯,1660.9194310754297 km
101,延布商业港,24°04′.8N,038°04′.1E,沙特阿拉伯,1641.7273144610213 km
102,朱拜勒港,27°01′.5N,049°41′.1E,沙特阿拉伯,2276.1857421517498 km
103,汉班托特港,06°07′N,081°07′E,斯里兰卡,4738.572723722586 km
104,加勒港,06°02′N,080°14′E,斯里兰卡,4805.729071922044 km
105,科伦坡港,06°56′N,079°50′E,斯里兰卡,4904.642904087711 km
106,亭可马里港,08°33′N,081°12′E,斯里兰卡,4765.683404714319 km
107,萨瓦金港,19°07′.0N,037°20′.6E,苏丹,2088.3985613356117 km
108,苏丹港,19°37′N,037°14′E,苏丹,2033.5605242932804 km
109,柏培拉港,10°26′N,045°01′E,索马里,3316.006360043806 km
110,霍比奥港,05°20′.7N,048°32′.5E,索马里,3996.7206462271024 km
111,基斯马尤港,0°22′S,042°34′E,索马里,4282.470287535235 km
112,摩加迪沙港,02°02′N,045°20′E,索马里,4167.488508886417 km
113,曼谷,13°44′N,100°30′E,泰国,2636.3727001961975 km
114,普吉港,07°49′.2N,098°24′.3E,泰国,3194.6072186879173 km
115,宋卡,07°12′N,100°35′E,泰国,3052.41705934391 km
116,梭桃邑,12°36′N,100°56′E,泰国,2661.5331576143 km
117,达累斯萨拉姆港,06°50′S,039°17′E,坦桑尼亚,4840.565907081316 km
118,努库阿洛法港,21°08′S,175°11′W,汤加,541.5822167368866 km
